"","glottocode","TLI0549","TLI0552","TLI0559","TLI0560","TLI0570","TLI0578","TLI0580","TLI0582","TLI0589","TLI0592","TLI0596","TLI0597","TLI0598","TLI0604","TLI0860","TLI0891","TLI0892","TLI0893","TLI0958","TLI0959","TLI1044","TLI1083","TLI1099","TLI1100","TLI1101","TLI1102","TLI1112"
"8","abip1241","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"10","abkh1244","False","False","False","True","False","False","False","False","False","False","False","?","False","False","vigesimal","False","False","False","TRUE","TRUE","first/one-th, two-th, three-th","?","FALSE","FALSE","FALSE","FALSE","BarkAndSkin"
"12","abua1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"13","abui1241","?","False","?","False","False","False","?","True","False","True","True","True","?","False","?","False","False","?","?","?","?","?","?","?","TRUE","FALSE","TreeInBark"
"17","acat1239","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","TRUE","FALSE","?"
"19","acha1250","?","False","False","?","False","False","False","False","False","?","?","?","?","?","restricted","True","False","False","?","?","?","?","FALSE","FALSE","?","FALSE","?"
"23","achu1247","False","False","?","?","False","False","?","False","False","False","False","?","False","?","?","?","?","False","?","?","?","?","FALSE","FALSE","FALSE","FALSE","Neither"
"24","achu1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"28","adan1251","?","False","?","False","False","False","?","False","False","False","False","True","?","False","?","False","False","False","?","?","?","?","?","?","?","FALSE","Neither"
"31","adny1235","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","True","False","False","?","?","?","?","?","?","?","FALSE","?"
"44","agua1253","False","False","?","?","False","False","?","False","False","False","False","?","False","?","?","?","?","False","?","?","?","?","FALSE","FALSE","FALSE","FALSE","Neither"
"50","ahte1237","False","False","?","?","False","?","?","False","False","False","False","?","False","?","?","?","?","False","?","?","?","?","FALSE","FALSE","FALSE","FALSE","Neither"
